,AUROC,AUPRC,Distribution similarity with ground-truth,Difference between KO and WT,Overlap with known motifs,Conserved motif bias,Sequencing depth bias,Modification level bias,Speed,Memory efficiency
Max,1,1,1,1,1,1,1,1,1,1
Min,0,0,0,0,0,0,0,0,0,0
SingleMod,0.41,0.03,0.8363,0.955829313273918,0.1682,0.862,0.6877,0.79,0,1
m6Anet,0.7,0.1,0.51255,0.92563571448039,0.5093,0.757,0.85,0.62,0.721197640558501,0.824573024454868
TandemMod,0.68,0.08,0.829,0.890886048349731,0.3049,0.8171,0.888,0.47,0.12693197939222,0.830033298721759
EpiNano,0.39,0.03,0.632,0.895035567305334,0.0903,0.948,0.9,0.95,0.774434406033002,0.958806258727488
Dinopore,0.65,0.08,0.5925,0,0.0942,0.1,0.1,0.1,0.249384006570597,0
Dorado,0.5,0.04,0.5965,0.669146838915992,0.115,0.97,0.7821,0,1,0.970031150417129
NanoSPA,0.59,0.05,0.7789,1,0.0904,0.7371,0.775,0.9,0.686627342641678,0.971123205270507
