,AUROC,AUPRC,Distribution similarity with ground-truth,Difference between KO and WT,Conserved motif bias,Sequencing depth bias,Modification level bias,Speed,Memory efficiency
Max,1,1,1,1,1,1,1,1,1
Min,0,0,0,0,0,0,0,0,0
m6Anet,0.78,0.78,0.6157,1,0.02,0.4,0.04,0.441518202943455,0.994531936659799
EpiNano,0.49,0.5,0.757,0,0.90438,0.91505,0.90128,0.821068938807126,0.953726784144778
SingleMod,0.9,0.88,0.883,0.943386964226408,0.8247,0.42,0.319,0.619674670797831,1
TandemMod,0.74,0.73,0.9034,0.953210944677839,0.0432,0.52,0.132,0,0
Dorado,0.9,0.89,0.79,0.835444388149649,0.779,0.346,0.111,1,0.905796579398585
Xron,0.57,0.57,0.819,0.916811915318622,0.304,0.02,0.63,0.31990704879938,0.911603244816507
